iucn_sid,gear,count
14049,btmtrawl,1
14049,dredge,0
14049,gillnet,1
14049,longline,1
14049,midtrawl,0
14049,poleline,1
14049,seine,0
14049,trap,0
14050,btmtrawl,1
14050,dredge,0
14050,gillnet,0
14050,longline,3
14050,midtrawl,0
14050,poleline,2
14050,seine,0
14050,trap,2
14051,btmtrawl,0
14051,dredge,0
14051,gillnet,0
14051,longline,0
14051,midtrawl,0
14051,poleline,3
14051,seine,0
14051,trap,0
14052,btmtrawl,0
14052,dredge,0
14052,gillnet,0
14052,longline,0
14052,midtrawl,0
14052,poleline,0
14052,seine,0
14052,trap,0
14053,btmtrawl,0
14053,dredge,0
14053,gillnet,1
14053,longline,1
14053,midtrawl,0
14053,poleline,1
14053,seine,0
14053,trap,0
14054,btmtrawl,1
14054,dredge,0
14054,gillnet,0
14054,longline,1
14054,midtrawl,0
14054,poleline,0
14054,seine,0
14054,trap,0
14363,btmtrawl,1
14363,dredge,0
14363,gillnet,1
14363,longline,0
14363,midtrawl,0
14363,poleline,0
14363,seine,0
14363,trap,0
14549,btmtrawl,1
14549,dredge,0
14549,gillnet,5
14549,longline,0
14549,midtrawl,1
14549,poleline,1
14549,seine,0
14549,trap,2
15106,btmtrawl,1
15106,dredge,0
15106,gillnet,0
15106,longline,0
15106,midtrawl,0
15106,poleline,0
15106,seine,0
15106,trap,0
15108,btmtrawl,1
15108,dredge,0
15108,gillnet,0
15108,longline,0
15108,midtrawl,0
15108,poleline,0
15108,seine,0
15108,trap,0
15419,btmtrawl,10
15419,dredge,1
15419,gillnet,13
15419,longline,1
15419,midtrawl,10
15419,poleline,0
15419,seine,0
15419,trap,2
15421,btmtrawl,1
15421,dredge,0
15421,gillnet,1
15421,longline,4
15421,midtrawl,0
15421,poleline,0
15421,seine,0
15421,trap,0
15873,btmtrawl,2
15873,dredge,0
15873,gillnet,0
15873,longline,5
15873,midtrawl,0
15873,poleline,4
15873,seine,1
15873,trap,1
16238,btmtrawl,0
16238,dredge,0
16238,gillnet,0
