iucn_sid,assess_gp,kingdom,phylum,class,order,family,rank
195489,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Hexanchiformes,Chlamydoselachidae,Chondrichthyes
41743,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Chimaeriformes,Callorhinchidae,Chondrichthyes
161743,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rhinopristiformes,Rhinobatidae,Chondrichthyes
39350,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Leptochariidae,Chondrichthyes
39328,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squatiniformes,Squatinidae,Chondrichthyes
44607,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
161368,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,Chondrichthyes
195479,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Anacanthobatidae,Chondrichthyes
104050689,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rhinopristiformes,Glaucostegidae,Chondrichthyes
104019954,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rhinopristiformes,Rhinidae,Chondrichthyes
104023514,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Myliobatidae,Chondrichthyes
104176764,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,Chondrichthyes
124357224,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squaliformes,Etmopteridae,Chondrichthyes
124357844,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squaliformes,Etmopteridae,Chondrichthyes
124357891,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squaliformes,Etmopteridae,Chondrichthyes
124696811,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squaliformes,Etmopteridae,Chondrichthyes
43398244,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rhinopristiformes,Pristidae,Chondrichthyes
70682232,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,Chondrichthyes
63154,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Torpediniformes,Narcinidae,Chondrichthyes
161319,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
161320,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rhinopristiformes,Rhinobatidae,Chondrichthyes
161334,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,Chondrichthyes
161337,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
161343,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
161351,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Orectolobiformes,Parascylliidae,Chondrichthyes
161391,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
161418,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
161439,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Mobulidae,Chondrichthyes
161441,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squaliformes,Etmopteridae,Chondrichthyes
161442,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squaliformes,Centrophoridae,Chondrichthyes
161447,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rhinopristiformes,Rhinobatidae,Chondrichthyes
161464,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
161465,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,Chondrichthyes
161521,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squaliformes,Etmopteridae,Chondrichthyes
161532,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
161533,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,Chondrichthyes
161584,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Gurgesiellidae,Chondrichthyes
161589,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Torpediniformes,Platyrhinidae,Chondrichthyes
161602,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
43508905,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rhinopristiformes,Pristidae,Chondrichthyes
