iucn_sid,sciname,comname,pub_year,old_cat,depth_upper,depth_lower,elev_upper,elev_lower,aoo_km2,eoo_km2,criteria,cat,cat_score,iucn_version
84189617,Caretta caretta South East Indian Ocean subpopulation,Loggerhead Turtle,2015,NT,NA,NA,NA,NA,NA,NA,NA,NT,0.2,2020-1
84191235,Caretta caretta South West Atlantic subpopulation,Loggerhead Turtle,2015,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
84199475,Caretta caretta South West Indian Ocean subpopulation,Loggerhead Turtle,2015,NT,NA,NA,NA,NA,600,NA,NA,NT,0.2,2020-1
84784918,Aetomylaeus nichofii,Banded Eagle Ray,2016,VU,5,115,NA,NA,NA,NA,A2bd,VU,0.4,2020-1
84785231,Aetomylaeus caeruleofasciatus,Blue-banded Eagle Ray,2016,LC,8,117,NA,NA,NA,NA,NA,LC,0,2020-1
87517463,Allenbatrachus meridionalis,NA,2016,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
87568608,Stipecampus cristatus,Ring-backed Pipefish,2016,LC,0,15,NA,NA,NA,NA,NA,LC,0,2020-1
87568739,Phyllopteryx dewysea,Ruby Seadragon,2016,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
87585390,Amphioctopus arenicola,NA,2019,DD,1,80,NA,NA,NA,NA,NA,DD,NA,2020-1
87585409,Amphioctopus membranaceus,NA,2019,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
87585433,Cistopus chinensis,White-spotted pouched octopus,2019,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
87585453,Cistopus taiwanicus,Taiwan pouched octopus,2019,LC,10,75,NA,NA,NA,NA,NA,LC,0,2020-1
87585478,Histoctopus discus,NA,2019,DD,500,545,NA,NA,NA,NA,NA,DD,NA,2020-1
